,ID,Word,Count
0,0,breast,602
1,1,breast_cancer,422
2,2,cancer,2391
3,3,risk,1863
4,4,test,824
5,5,care,1738
6,6,gp,137
7,7,harming,16
8,8,poll,114
9,9,greater,83
10,10,heart,1259
11,11,heart_risk,72
12,12,people,1164
13,13,short,121
14,14,approach,102
15,15,hiv,381
16,16,promising,63
17,17,doctor,1765
18,18,nh,1290
19,19,case,1016
20,20,manager,26
21,21,nh_manager,15
22,22,review,166
23,23,empty,27
24,24,going,311
25,25,i,1122
26,26,video,1058
27,27,life,1207
28,28,life_care,39
29,29,needed,143
30,30,overhaul,52
31,31,dying,154
32,32,need,1065
33,33,labour,51
34,34,policy,194
35,35,tory,11
36,36,have,500
37,37,service,243
38,38,worse,145
39,39,a,2694
40,40,a_e,227
41,41,e,464
42,42,hit,98
43,43,level,179
44,44,waiting,96
45,45,worst,225
46,46,hour,204
47,47,opening,22
48,48,party,141
49,49,run,37
50,50,eu,70
51,51,health,5255
52,52,patient,2073
53,53,holiday,321
54,54,skin,329
55,55,skin_cancer,62
56,56,spike,65
57,57,future,201
58,58,might,571
59,59,outbreak,731
60,60,boom,21
61,61,linked,612
62,62,back,663
63,63,fund,160
64,64,public,285
65,65,rise,413
66,66,designer,13
67,67,welcome,114
68,68,le,472
69,69,five,212
70,70,idea,269
71,71,transform,32
72,72,exciting,19
73,73,personal,80
74,74,vaccine,757
75,75,child,944
76,76,death,1014
77,77,halved,10
78,78,heart_surgery,29
79,79,surgery,501
80,80,cameron,13
81,81,failed,47
82,82,food,1782
83,83,global,221
84,84,growing,103
85,85,threat,133
86,86,unsafe,25
87,87,highlight,65
88,88,ambulance,60
89,89,enough,226
90,90,fast,267
91,91,progress,99
92,92,build,100
93,93,hospital,1528
94,94,sleep,475
95,95,block,62
96,96,drug,2214
97,97,giant,36
98,98,treatment,742
99,99,blood,576
100,100,blood_test,71
101,101,down,184
102,102,down_syndrome,30
103,103,syndrome,92
104,104,future_nh,18
105,105,must,297
106,106,plan,907
107,107,back_pain,80
108,108,good,997
109,109,pain,454
110,110,biggest,139
111,111,get,280
112,112,shake,54
113,113,system,292
114,114,could,1175
115,115,existing,14
116,116,hope,225
117,117,m,106
118,118,offer,329
119,119,already,69
120,120,code,77
121,121,launched,63
122,122,nursing,180
123,123,disability,90
124,124,village,28
125,125,circumcision,42
126,126,fight,587
127,127,truck,11
128,128,uganda,14
129,129,mental,645
130,130,mental_health,409
131,131,more,1067
132,132,seek,228
133,133,veteran,107
134,134,among,267
135,135,among_teen,11
136,136,cigarette,343
137,137,e_cigarette,101
138,138,high,613
139,139,teen,575
